"Invalid default date","Tanggal standar tidak valid"
"Invalid default decimal value","Nilai desimal standar tidak valid"
"Invalid entity specified","Entitas yang ditentukan tidak valid"
"Invalid entity supplied.","Supply entitas."
"Invalid entity supplied: %s","Entitas yang tidak valid diberikan: %s"
"Invalid entity type","Jenis entitas tidak valid"
"Invalid entity_id, skipping the record.","entitas_id tidak valid, lewati record."
"Invalid entity_type specified: %s","Entity_type ditentukan yang tidak valid: %s"
"Invalid foreign key","Kunci asing yang yang tidak valid"
"Invalid form type.","Tipe form tidak valid."
"Invalid joint fields","Field gabungan tidak valid"
"Invalid store specified","Toko yang ditentukan tidak valid"
"Invalid type given. String expected","Invalid type given. String expected"
"Joined field with this alias is already declared","field yang tergabung dengan alias ini sudah dinyatakan"
"Joint field or attribute expression with this alias is already declared","Field gabungan atau ekspresi atribut dengan alias ini sudah dinyatakan"
"Letters","Hurup"
"Letters (a-z, A-Z) or Numbers (0-9)","hurup (a-z, A-Z) atau nomor (0-9)"
"Loaded %d records","memasukan  %d merekam"
"Maximum length of attribute code must be less then %s symbols","Panjang maksimum dari kode atribut harus kurang dari %s symbol"
"Multiple Select","Multi pilihan"
"No","Tidak"
"No options found in config node %s","Tidak ada pilihan konfigurasi dalam simpul yang ditemukan %s"
"None","Tidak satupun"
"Not shared with other products","Tidak dibagi dengan produk lain"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Galat: %s"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Galat: %s"
"Required","Dibutuhkan"
"Saved %d record(s).","Simpan %d record(s)."
"Source model ""%s"" not found for attribute ""%s""","Source model ""%s"" not found for attribute ""%s"""
"System","System"
"Text Area","Area Teks"
"Text Field","Field Teks"
"The value of attribute ""%s"" must be unique","The value of attribute ""%s"" must be unique"
"The value of attribute ""%s"" must be unique.","The value of attribute ""%s"" must be unique."
"This attribute is used in configurable products","atribut ini digunakan dalam produk yang dapat dikonfigurasi"
"URL","URL"
"Unique Value","Nilai unik"
"Unique Value (not shared with other products)","Nilai unik (tidak dibagi dengan produk lain)"
"Unknown parameter","Parameter tidak di ketahui"
"Values Required","Nilai dibutuhkan"
"Wrong attribute group ID","ID grup atribut salah"
"Wrong attribute set ID","Pengaturan ID atribut salah"
"Wrong entity ID","ID entitas salah"
"Wrong type definition for %s","Tipe definisi salah untuk %s"
"Yes","Ya"
"Yes/No","Ya/Tidak"
