"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Darat"
"Ground Commercial","Lapangan komersial"
"Ground Residential","lapangan Residensial"
"Handling Applied","Penanganan Ditetapkan"
"Handling Fee","Biaya Penanganan"
"Height","Tinggi"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Pengiriman ke Rumah"
"Hub ID","Hub ID"
"Inches","Inches"
"Indirect","tidak langsung"
"International Economy","Internasional Ekonomi"
"International Express","Internasional Ekspress"
"International First","Internasional Pertama"
"International Ground","Internasional Ground"
"International Priority","Internasional Utama"
"International Shipment Days","Hari pengiriman Internasional"
"Intl Economy Freight","Pengangkutan Ekonomi internasional"
"Intl Priority Freight","Pengangkutan prioritas internasional"
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Key","Kunci"
"Kilograms","Kilogram"
"Large","Besar"
"Large Express Box","Kotak Express Besar"
"Length","Panajang"
"Letter","Surat"
"Library Mail","Library Mail"
"Live","Langsung"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimum Berat Paket (Harap konsultasi jasa pengiriman anda untuk maksimum berat pengiriman yang tersedia)"
"Media Mail","Surat Media"
"Medical express","Medical express"
"Medium Express Box","Kotak Express Medium"
"Merchandise","Merchandise"
"Meter Number","Nomor Meter"
"Minimum Order Amount for Free Shipping","Oreder minimum untuk pengiriman gratis"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Paket minimal Berat (Silahkan konsultasikan operator pengiriman Anda untuk berat pengiriman minimal didukung)"
"Mode","Mode"
"National Freight","National Freight"
"Next Afternoon","Sore Besok"
"Next Day Air","Hari penerbangan berikutnya"
"Next Day Air Early AM","Hari penerbangan dini berikut nya AM"
"Next Day Air Early AM Letter","surat AM  Hari penerbangan berikutnya "
"Next Day Air Intra (Puerto Rico)","Hari penerbangan berikutnya Intra (Puerto Rico)"
"Next Day Air Letter","Surat hari penerbangan  berikutnya"
"Next Day Air Saver","Hari penerbangan berikutnya lebih hemat"
"Next Day Air Saver Letter","Surat hari penerbangan berikutnya lebih hemat"
"No","Tidak"
"No packages for request","Tidak ada paket untuk diminta"
"Non Documents","Non Documents"
"Non documents","Non documents"
"Non-rectangular","Non-rectangular"
"None","Tidak satupun"
"Not Required","Tidak dibutuhkan"
"Order","Pembelian"
"Order #%s","Pesanan #%s"
"Origin of the Shipment","Asal Pengiriman"
"Origin serviceAreaCode is missing","Origin serviceAreaCode is missing"
"Other","Lain"
"Others","Others"
"PAK","PAK"
"Package","Paket"
"Package Description","Deskripsi Paket"
"Package content is missing","Package content is missing"
"Packages Request Type","Packages Request Type"
"Packaging","Bungkus"
"Pallet","Pallet"
"Parcel","Parsel"
"Parcel Post","Kirim Parsel"
"Password","Kata sandi"
"Pickup Method","Metode Pickup"
"Piece Id barcode is missing","Piece Id barcode is missing"
"Piece number information is missing","Piece number information is missing"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Please, specify origin country","Please, specify origin country"
"Pounds","Pon"
"Priority Mail","Surat Utama"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
